prefecture,wage,population,born,region,region_num,area
北海道,889,5228732,1.19,北海道・東北,1,83457
青森,822,1260067,1.26,北海道・東北,1,9645
岩手,821,1221205,1.37,北海道・東北,1,15279
宮城,853,2282106,1.25,北海道・東北,1,6862
秋田,822,971604,1.29,北海道・東北,1,11636
山形,822,1070017,1.39,北海道・東北,1,6652
福島,828,1862777,1.49,北海道・東北,1,13783
茨城,879,2907678,1.37,関東,2,6096
栃木,882,1955402,1.43,関東,2,6408
群馬,865,1958185,1.38,関東,2,6362
埼玉,956,7393849,1.28,関東,2,3768
千葉,953,6322897,1.31,関東,2,5082
東京,1041,13843525,1.12,関東,2,2104
神奈川,1040,9220245,1.28,関東,2,2416
新潟,859,2213353,1.37,中部,3,10364
富山,877,1047713,1.37,中部,3,2046
石川,861,1132656,1.4,中部,3,4186
福井,858,774596,1.55,中部,3,4190
山梨,866,821094,1.31,中部,3,4201
長野,877,2072219,1.43,中部,3,13105
岐阜,880,2016868,1.37,中部,3,9768
静岡,913,3686335,1.43,中部,3,7255
愛知,955,7558872,1.43,中部,3,5116
三重,902,1800756,1.4,近畿,4,5762
滋賀,896,1418886,1.44,近畿,4,3767
京都,937,2530609,1.2,近畿,4,4613
大阪,992,8839532,1.28,近畿,4,1901
兵庫,928,5523627,1.33,近畿,4,8396
奈良,866,1344952,1.23,近畿,4,3691
和歌山,859,944750,1.36,近畿,4,4726
鳥取,821,556959,1.46,中国・四国,5,3507
島根,824,672979,1.55,中国・四国,5,6708
岡山,862,1893874,1.39,中国・四国,5,7010
広島,899,2812477,1.47,中国・四国,5,8480
山口,857,1356144,1.43,中国・四国,5,6114
徳島,824,735070,1.35,中国・四国,5,4147
香川,848,973922,1.48,中国・四国,5,1862
愛媛,821,1356343,1.41,中国・四国,5,5679
高知,820,701531,1.29,中国・四国,5,7105
福岡,870,5124259,1.37,九州・沖縄,6,4847
佐賀,821,818251,1.49,九州・沖縄,6,2440
長崎,821,1336023,1.5,九州・沖縄,6,4106
熊本,821,1758815,1.58,九州・沖縄,6,7268
大分,822,1141784,1.5,九州・沖縄,6,5100
宮崎,821,1087372,1.61,九州・沖縄,6,6795
鹿児島,821,1617850,1.56,九州・沖縄,6,9045
沖縄,820,1485484,1.79,九州・沖縄,6,2277
